DATE,BR,CH,IT,JP,FR,ES,US,ZA
22.1.20,0,2.73878055848437,0,0.301029995663981,0,0,0,0
23.1.20,0,2.80821097292422,0,0.301029995663981,0,0,0,0
24.1.20,0,2.96378782734556,0,0.301029995663981,0.301029995663981,0,0.301029995663981,0
25.1.20,0,3.14798532068381,0,0.301029995663981,0.477121254719662,0,0.301029995663981,0
26.1.20,0,3.31701810104811,0,0.602059991327962,0.477121254719662,0,0.698970004336019,0
27.1.20,0,3.45893986189033,0,0.602059991327962,0.477121254719662,0,0.698970004336019,0
28.1.20,0,3.74107277237332,0,0.845098040014257,0.602059991327962,0.602059991327962,0.698970004336019,0
29.1.20,0,3.78440330175301,0,0.845098040014257,0.698970004336019,0.602059991327962,0.698970004336019,0
30.1.20,0,3.9106777547427,0,1.04139268515822,0.698970004336019,0.602059991327962,0.698970004336019,0
31.1.20,0,3.99131469817661,0.301029995663981,1.17609125905568,0.698970004336019,0.698970004336019,0.845098040014257,0
01.2.20,0,4.07521837911154,0.301029995663981,1.30102999566398,0.778151250383644,0.903089986991943,0.903089986991943,0
02.2.20,0,4.22089224921952,0.301029995663981,1.30102999566398,0.778151250383644,1,0.903089986991943,0
03.2.20,0,4.29481880948269,0.301029995663981,1.30102999566398,0.778151250383644,1.07918124604762,1.04139268515822,0
04.2.20,0,4.3748765997024,0.301029995663981,1.34242268082221,0.778151250383644,1.07918124604762,1.04139268515822,0
05.2.20,0,4.43838410703471,0.301029995663981,1.34242268082221,0.778151250383644,1.07918124604762,1.04139268515822,0
06.2.20,0,4.48553688308675,0.301029995663981,1.34242268082221,0.778151250383644,1.07918124604762,1.04139268515822,0
07.2.20,0,4.5328817194074,0.477121254719662,1.39794000867204,0.778151250383644,1.11394335230684,1.04139268515822,0
08.2.20,0,4.56601300798044,0.477121254719662,1.39794000867204,1.04139268515822,1.11394335230684,1.04139268515822,0
09.2.20,0,4.60019940256966,0.477121254719662,1.41497334797082,1.04139268515822,1.14612803567824,1.04139268515822,0
10.2.20,0,4.62689443227933,0.477121254719662,1.41497334797082,1.04139268515822,1.14612803567824,1.04139268515822,0
11.2.20,0,4.64724600881899,0.477121254719662,1.41497334797082,1.04139268515822,1.20411998265592,1.07918124604762,0
12.2.20,0,4.65088037501151,0.477121254719662,1.44715803134222,1.04139268515822,1.20411998265592,1.07918124604762,0
13.2.20,0,4.77739056925002,0.477121254719662,1.44715803134222,1.04139268515822,1.20411998265592,1.11394335230684,0
14.2.20,0,4.82189328811102,0.477121254719662,1.46239799789896,1.04139268515822,1.20411998265592,1.11394335230684,0
15.2.20,0,4.83513863522617,0.477121254719662,1.63346845557959,1.07918124604762,1.20411998265592,1.11394335230684,0
16.2.20,0,4.84826919227922,0.477121254719662,1.77085201164214,1.07918124604762,1.20411998265592,1.11394335230684,0
17.2.20,0,4.85994246877052,0.477121254719662,1.81954393554187,1.07918124604762,1.20411998265592,1.11394335230684,0
18.2.20,0,4.87046828378614,0.477121254719662,1.86923171973098,1.07918124604762,1.20411998265592,1.11394335230684,0
19.2.20,0,4.87284942458431,0.477121254719662,1.92427928606188,1.07918124604762,1.20411998265592,1.11394335230684,0
20.2.20,0,4.87550691033348,0.477121254719662,1.9731278535997,1.07918124604762,1.20411998265592,1.11394335230684,0
21.2.20,0,4.87823446867504,1.30102999566398,2.02118929906994,1.07918124604762,1.20411998265592,1.17609125905568,0
22.2.20,0,4.88649636532393,1.79239168949825,2.08635983067475,1.07918124604762,1.20411998265592,1.17609125905568,0
23.2.20,0,4.88661479158724,2.19033169817029,2.16731733474818,1.07918124604762,1.20411998265592,1.17609125905568,0
24.2.20,0,4.88784788773385,2.35983548233989,2.20139712432045,1.07918124604762,1.20411998265592,1.70757017609794,0
25.2.20,0,4.89072274024862,2.50785587169583,2.23044892137827,1.14612803567824,1.23044892137827,1.70757017609794,0
26.2.20,0,4.89301788831153,2.65609820201283,2.27646180417324,1.25527250510331,1.43136376415899,1.75587485567249,0
27.2.20,0,4.89542254603941,2.81624129999178,2.33041377334919,1.57978359661681,1.66275783168157,1.76342799356294,0
28.2.20,0,4.89723109811807,2.9484129657786,2.35793484700045,1.75587485567249,1.68124123737559,1.77815125038364,0
29.2.20,0.301029995663981,4.89957976875161,3.05230909964732,2.38201704257487,2,1.89762709129044,1.83250891270624,0
01.3.20,0.301029995663981,4.90272067970448,3.22891340599469,2.40823996531185,2.11394335230684,2.11394335230684,1.86923171973098,0
02.3.20,0.301029995663981,4.90382766076598,3.30877777366472,2.43775056282039,2.28103336724773,2.20139712432045,1.99122607569249,0
03.3.20,0.301029995663981,4.90450456645908,3.3982873053574,2.46686762035411,2.3096301674259,2.29225607135648,2.07188200730613,0
04.3.20,0.602059991327962,4.90518041874631,3.48981790830145,2.51982799377572,2.45484486000851,2.41830129131975,2.17318626841227,0
05.3.20,0.903089986991943,4.90599544812078,3.58636222330786,2.55630250076729,2.57634135020579,2.68304703823885,2.33645973384853,0
06.3.20,1.11394335230684,4.90681971546655,3.66614342729156,2.6232492903979,2.81491318127507,2.82607480270083,2.41830129131975,0
07.3.20,1.11394335230684,4.90725008288133,3.76959884838745,2.66370092538965,2.97726621242729,2.90254677931399,2.60422605308447,0
08.3.20,1.30102999566398,4.90753496661226,3.8677620246502,2.70070371714502,3.05153839051533,3.01703333929878,2.71432975974523,0.477121254719662
09.3.20,1.39794000867204,4.90773373699766,3.9624640460579,2.70842090013471,3.08242630086077,3.07040732174012,2.76566855475901,0.477121254719662
